word,mean,std,n
band (ribbon),2.441,1.217,34
bandage,3.97,0.797,33
bandit,5.576,0.854,33
bandits,5.697,1.0,33
bang,5.086,0.906,35
banjo,5.0,0.916,31
bank,5.0,0.986,35
bank (money),4.742,1.319,31
bank (rely),4.333,1.005,33
bank (river),4.061,0.983,33
banker,5.853,0.912,34
bankrupt,4.818,0.869,33
banks,5.057,1.194,35
banks (money),5.364,0.915,33
banks (river),4.182,1.167,33
banner,4.296,0.936,27
bar,5.118,1.051,34
bar (legal),4.971,1.028,35
bar (metal),5.118,1.022,34
bar (musical),3.706,1.249,34
bar (pub),5.677,0.992,34
bare,3.667,1.054,27
barely,4.257,0.996,35
barge,5.519,1.032,27
barge (boat),4.943,1.33,35
barge (push),5.485,1.077,33
bark,4.943,0.955,35
bark (dog),5.343,0.984,35
bark (tree),4.559,0.774,34
barley,4.235,0.769,34
barn,4.806,0.844,36
barnacle,4.452,0.945,31
baroque,3.826,1.167,23
barrage,5.067,1.124,30
barrel,5.0,0.767,34
barrier,4.788,0.977,33
basement,4.441,0.735,34
basket,3.265,0.851,34
basketball,5.576,1.016,33
bass,4.824,1.014,34
bass (fish),4.546,0.924,33
bass (guitar),5.343,0.893,35
bassoon,4.769,0.75,26
bastard,6.258,0.879,31
bastards,6.219,0.856,32
bat,4.621,0.715,29
bat (animal),4.829,1.0,35
bat (club),5.387,0.939,31
bath,2.6,0.952,30
bathroom,3.143,1.199,35
battered,4.97,1.403,33
battery,4.882,1.255,34
battle,6.091,0.933,33
bayonet,5.469,1.561,32
bazooka,5.645,1.123,31
beach,3.259,0.644,27
bead,2.677,0.992,34
beagle,4.063,0.788,32
beak,4.0,0.97,34
beaker,4.364,0.688,33
bean,4.343,0.893,35
bear,5.212,0.993,66
beard,6.631,0.67,65
beast,5.831,0.954,65
beat,5.0,1.111,34
beat (hit),5.2,1.327,35
beat (mix),4.382,0.971,34
beat (rhythm),4.389,1.185,36
beaten,4.594,1.271,32
beautician,1.606,0.952,33
beautiful,1.441,0.65,34
beauty,1.807,0.82,31
beaver,4.414,1.067,29
become,3.857,0.875,28
bed,3.588,0.772,34
bee,3.152,1.131,33
beef,5.559,0.881,34
beehive,3.364,1.01,33
beer,5.882,0.963,34
beet,4.063,1.059,32
beetle,4.882,0.993,34
befall,3.871,0.751,31
beg,3.914,1.251,35
beggar,4.844,0.833,32
begin,4.091,0.83,33
beginning,3.516,1.012,31
behalf,3.853,0.974,34
behave,3.625,0.992,32
behaviour,3.886,1.036,35
behind,3.758,0.653,33
beige,3.353,1.326,34
belfry,4.182,0.777,22
belief,3.343,0.955,35
believe,3.483,1.004,29
bell,3.706,0.925,34
belly,4.467,1.455,30
belong,3.241,1.103,29
belt,5.267,1.031,30
bench,4.294,0.708,34
bend,3.735,0.949,34
beneficial,3.543,0.905,35
benefit,3.571,1.154,35
bereavement,3.438,1.059,32
berry,2.743,0.873,35
best,4.088,1.463,34
betray,4.818,1.14,33
betrayal,4.677,1.277,34
beverage,4.257,1.441,35
beware,4.781,1.082,32
bicycle,4.088,0.853,34
bid,4.438,0.864,32
bigot,5.382,1.164,34
bike,4.912,1.067,34
billion,4.588,0.911,34
binder,4.156,0.667,32
biology,3.647,0.836,34
bird,3.25,0.987,28
birth,1.912,1.095,34
birthday,3.853,0.648,34
biscuit,3.571,1.05,35
bishop,6.031,0.883,32
bison,5.107,1.113,28
bit,4.156,0.87,32
bit (bite),4.147,1.115,34
bit (horse bridal),4.0,0.926,28
bit (small amount),3.765,0.877,34
bitch,1.939,1.205,33
bitchy,1.588,0.809,34
bitter,4.294,1.425,34
bizarre,4.414,0.81,29
black,5.059,1.027,34
blackmail,4.706,1.273,34
blacksmith,6.333,0.876,33
blade,5.455,1.076,33
blame,4.286,1.406,35
bland,3.963,0.693,27
blank,4.029,0.609,35
blasphemy,4.97,1.193,33
blaze,4.857,1.125,35
blazes,4.808,1.001,26
bleak,4.412,1.166,34
blend,3.594,0.931,32
blender,3.815,0.818,27
bless,2.9,0.746,30
blessed,2.686,1.036,35
blessing,2.528,1.067,36
blessings,2.697,1.114,33
blimp,4.452,0.797,31
blind,4.061,0.489,33
bliss,2.455,1.157,33
blister,4.265,1.12,34
block,4.879,0.729,33
bloke,6.529,0.882,34
blond,2.576,1.478,33
blonde,1.647,0.8,34
blood,4.212,0.977,33
bloody,4.743,1.48,35
bloom,2.156,1.064,32
blossom,2.057,0.955,35
blouse,1.758,0.78,33
blow,4.114,1.469,35
blow (hit),5.333,0.876,33
blow (wind),4.029,0.845,35
blubber,3.559,1.034,34
blubber (cry),2.971,1.341,35
blubber (fat),4.061,1.071,33
blue,5.2,1.283,35
blueberry,3.206,0.9,34
bluff,4.441,0.774,34
blunder,4.424,0.954,33
blunt,5.0,0.935,32
board,4.529,0.652,34
board (enter),4.182,0.833,33
board (executive),5.156,0.87,32
board (wooden),4.853,0.944,34
boarded,4.706,1.016,34
boast,4.939,1.254,33
boastful,5.294,1.072,34
boat,4.922,1.15,64
body,3.212,1.32,33
boil,4.353,1.21,34
boiler,5.273,0.93,33
bold,5.152,0.892,33
bollocks,6.235,1.002,34
bomb,5.618,0.875,34
bomber,5.667,0.978,30
bond,3.735,1.313,34
bondage,4.546,1.183,33
bonds,3.912,1.314,34
bonds (money),4.97,1.029,33
bonds (restraints),4.714,1.485,35
bone,4.625,0.927,32
bones,4.281,0.76,32
bongo,4.606,0.776,33
bonnet,2.7,1.754,30
bonus,4.697,1.218,33
book,3.667,0.943,30
book (read),3.364,1.096,33
book (reserve),4.029,1.23,35
bookcase,4.0,0.986,35
boom,5.286,1.161,35
boost,4.455,1.047,33
boot,4.5,1.384,30
boot (car),5.057,1.17,35
boot (evict),5.0,1.085,34
boot (shoe),4.514,1.339,35
bored,4.143,0.542,35
boredom,4.714,0.881,35
boring,4.471,1.007,34
born,3.296,0.895,27
borrow,4.0,1.031,32
bosom,1.771,0.897,35
boss,5.686,1.008,35
botanist,3.966,1.245,29
botany,3.484,1.132,31
bother,4.611,1.008,36
bottle,4.167,0.687,30
bottom,3.758,1.074,33
bought,3.875,1.053,32
boulder,5.531,1.0,32
bounce,3.406,0.861,32
bouncy,3.324,0.83,34
bound,4.235,1.059,34
bouquet,2.057,0.86,35
bout,4.594,0.861,32
bow,3.853,1.574,34
bow (bend),4.606,0.851,33
bow (ribbon),2.086,1.156,35
bow (ship),4.516,1.292,31
bow (weapon),4.941,1.494,34
bowel,4.606,0.983,33
bowl,3.971,0.985,34
box,4.344,0.775,32
box (container),4.471,0.813,34
box (sport),6.303,0.969,33
boxer,5.912,1.422,34
boxer (dog),5.559,1.117,34
boxer (fighter),6.343,0.924,35
boxing,6.03,0.834,33
boy,6.529,0.848,34
boycott,4.788,1.225,33
bra,1.177,0.452,34
