word,mean,std,n
camp (effeminate),5.813,1.467,32
camp (tents),3.333,1.035,33
camper,4.057,1.094,35
campus,5.943,1.04,35
canal,3.909,1.334,33
cancer,4.758,1.415,33
candidate,5.424,1.393,33
candle,3.063,1.116,32
candy,2.686,1.304,35
candyfloss,2.771,0.988,35
cane,4.088,1.095,34
cane (beat),4.563,1.197,32
cane (stick),4.086,1.273,35
cane (sugar),4.5,1.399,34
cannon,3.97,1.087,33
canoe,4.618,0.94,34
canyon,4.441,1.31,34
cap,2.886,0.708,35
cap (hat),2.629,0.865,35
cap (limit),5.061,1.278,33
capable,4.706,1.099,34
capacity,5.543,1.078,35
cape,3.382,1.213,34
captivate,5.594,1.057,32
captivating,5.9,0.746,30
captive,5.031,1.104,32
capture,3.765,1.238,34
car,1.972,1.236,36
caravan,3.333,1.223,33
carbohydrate,5.647,1.082,34
carbon,5.382,1.237,34
carcass,5.344,1.107,32
card,2.594,1.057,32
care,2.882,0.9,34
career,4.943,1.218,35
careful,2.882,0.963,34
caress,5.667,0.943,33
carnival,3.371,1.071,35
carol,3.353,1.16,34
carp,5.355,1.449,31
carpenter,3.914,1.339,35
carpet,2.429,1.022,35
carriage,3.938,1.321,32
carrot,2.4,1.224,35
carry,2.485,1.158,33
carve,4.529,1.036,34
case,3.448,1.308,67
case (container),3.343,1.17,35
case (instance),4.912,1.579,34
case (legal),5.441,1.09,34
cash,3.486,1.105,35
cashier,4.606,1.278,33
casino,5.152,1.048,33
cast,4.257,1.051,35
cast (actors),4.6,1.126,35
cast (plaster bandage),3.6,1.438,35
cast (throw),5.188,1.21,32
castle,2.548,1.011,31
casual,4.441,1.006,34
casualty,5.143,1.222,35
cat,1.743,1.078,35
catapult,4.219,1.166,32
catastrophe,5.229,1.017,35
catch,2.455,0.891,33
catch (a ball),1.833,0.866,36
catch (drawback),4.594,1.656,32
catch (restraint),4.206,1.677,34
catch (romantic),5.429,1.154,35
caterpillar,2.406,0.861,32
cathedral,4.2,1.19,35
cattle,3.706,1.296,34
caught,2.771,1.267,35
cauliflower,3.206,1.471,34
caution,4.235,1.165,34
cautious,4.412,1.115,34
cave,2.971,0.971,35
caviar,5.909,1.24,33
cavity,5.618,1.306,34
cease,5.471,1.311,34
ceiling,2.886,1.036,35
celebrate,3.531,1.299,32
celebration,3.543,1.078,35
celebrity,4.543,1.317,35
celery,3.382,1.435,34
cell,4.618,1.372,34
cell (biological),5.788,1.094,33
cell (jail),3.941,1.413,34
cellar,4.235,1.113,34
cello,4.177,1.248,34
cells,4.969,1.38,32
cement,3.714,1.002,35
cemetery,4.057,1.351,35
cervix,6.273,0.827,33
chain,3.143,1.018,35
chair,2.143,1.046,35
chair (head),5.581,1.239,31
chair (seat),1.686,0.708,35
chalice,6.0,1.107,31
chalk,2.742,0.717,31
chameleon,4.188,1.21,32
champion,3.5,0.916,34
chance,3.257,1.078,35
chandelier,5.121,1.037,33
change,2.743,1.203,35
change (coins),3.5,1.266,34
change (transform),2.943,0.984,35
chaos,5.0,1.029,34
chaotic,4.912,1.197,34
chapel,3.743,1.295,35
charge,3.771,1.267,35
charge (card),5.03,1.359,33
charge (dependent),5.719,1.068,32
charge (electric),5.206,1.43,34
charge (price),4.094,1.234,32
charge (rush),4.733,1.365,30
charity,4.0,1.146,35
charlatan,6.633,0.657,30
charm,4.177,1.361,34
charm (lucky),3.588,1.115,34
charm (social allure),4.706,1.544,34
charming,4.412,1.375,34
chasm,5.808,1.272,26
chauffeur,5.571,1.129,35
cheap,3.382,1.058,34
check,3.371,1.044,35
cheek,2.194,0.692,31
cheer,3.059,0.938,34
cheer (happiness),3.114,1.19,35
cheer (support),3.03,1.058,33
cheerful,3.429,0.935,35
cheers,4.286,1.578,35
cheese,2.167,0.778,30
cheetah,3.529,0.882,34
chef,3.057,1.145,35
chemist,4.657,1.453,35
chemistry,4.688,1.356,32
chemistry (rapport),5.818,1.14,33
chemistry (science),5.286,0.881,35
cheque,4.636,0.915,33
cherry,2.857,1.073,35
chess,3.909,1.026,33
chest,3.091,1.164,33
chest (cabinet),3.147,1.263,34
chest (torso),2.971,1.361,34
chestnut,3.457,1.203,35
chew,2.314,1.166,35
chewy,2.844,0.939,32
chief,3.853,1.216,34
chihuahua,4.727,1.399,33
child,2.484,0.98,31
children,2.29,0.957,31
chime,4.629,1.396,35
chimpanzee,3.387,1.21,31
chin,2.394,0.851,33
chip,2.647,0.871,34
chipmunk,3.697,1.243,33
chips,2.531,0.749,32
chisel,5.1,1.3,30
chocolate,2.0,0.828,35
choir,3.571,0.838,35
choke,3.594,1.142,32
choked,3.849,1.598,33
choose,2.471,0.848,34
choral,5.933,1.031,30
chord,4.647,1.453,34
chose,3.353,1.21,34
Christmas,1.6,0.764,35
chubby,3.457,1.13,35
chunk,3.286,1.084,35
church,2.849,1.104,33
chute,3.871,1.896,31
cigar,4.636,1.367,33
cigarette,3.75,1.479,32
cinema,3.143,0.96,35
circle,2.219,0.927,32
circuit,5.559,1.217,34
circular,3.857,1.268,35
circulate,5.424,1.393,33
circulation,5.778,1.204,36
circumstances,4.788,0.977,33
circus,2.441,0.735,34
citation,6.618,0.768,34
cite,6.469,0.901,32
city,3.065,1.216,31
civilian,5.412,1.141,34
civilization,5.457,1.078,35
civilized,5.618,0.94,34
clam,4.0,1.287,35
clan,4.824,1.524,34
clarinet,4.559,1.006,34
class,2.514,0.874,35
class (school),2.4,0.869,35
class (status),5.333,1.318,33
